,HeadPitch,HeadYaw,HipPitch,HipRoll,KneePitch,LElbowRoll,LElbowYaw,LHand,LShoulderPitch,LShoulderRoll,LWristYaw,RElbowRoll,RElbowYaw,RHand,RShoulderPitch,RShoulderRoll,RWristYaw,R0R,R0G,R0B,L0R,L0G,L0B,R1R,R1G,R1B,L1R,L1G,L1B,R2R,R2G,R2B,L2R,L2G,L2B,R3R,R3G,R3B,L3R,L3G,L3B,R4R,R4G,R4B,L4R,L4G,L4B,R5R,R5G,R5B,L5R,L5G,L5B,R6R,R6G,R6B,L6R,L6G,L6B,R7R,R7G,R7B,L7R,L7G,L7B,valence,time
0,-0.3500937223434448,-0.052128858864307404,-0.3323882222175598,-0.01430277805775404,0.09528912603855133,-0.3064914643764496,-1.291446566581726,0.7555518746376038,1.4300180673599243,0.1746133714914322,-0.33640673756599426,0.3124180734157562,1.3290541172027588,0.7431050539016724,1.5313485860824585,-0.19283565878868103,0.3981977701187134,0.99926335,0.99475586,0.99217004,0.99957913,0.99971884,0.99666303,0.999592,0.998195,0.9976399,0.99737334,0.998304,0.9987363,0.9955882,0.9954229,0.9977404,0.99943763,0.997477,0.9989526,0.99903524,0.99733907,0.9974347,0.9993592,0.99819714,0.9970036,0.99956626,0.99723476,0.9977991,0.99908066,0.99766916,0.99896836,0.999503,0.9977921,0.9975151,0.9945551,0.99666625,0.9983205,0.99583215,0.99609226,0.9989152,0.999432,0.99900997,0.9989478,0.9992805,0.99954444,0.99872285,0.99892896,0.99565166,0.99753904,0.5155646,0.02
1,-0.33830124139785767,-0.05254432186484337,-0.3277917802333832,-0.012934825383126736,0.09273544698953629,-0.29096266627311707,-1.2820695638656616,0.7536334991455078,1.427458643913269,0.17259137332439423,-0.3288889229297638,0.29896777868270874,1.3157958984375,0.7408017516136169,1.531496286392212,-0.18841882050037384,0.3846473693847656,0.99937373,0.99565613,0.9936826,0.9996698,0.99977905,0.99743634,0.9996662,0.99856216,0.99805754,0.9978946,0.998696,0.9989735,0.9964437,0.9964923,0.99831164,0.9996,0.9980453,0.99922776,0.9992567,0.9978604,0.99798226,0.9994765,0.9986162,0.9978302,0.99965274,0.99784946,0.9982849,0.9992861,0.99819094,0.99925715,0.9996482,0.99827886,0.99803025,0.9957788,0.9975472,0.9988097,0.9967668,0.996959,0.9991794,0.9995623,0.99923396,0.9992304,0.99942905,0.9996257,0.99901116,0.99912864,0.9965733,0.99819225,0.5164018,0.08
2,-0.3277740478515625,-0.049287378787994385,-0.3236274719238281,-0.011251147836446762,0.09033994376659393,-0.2748829126358032,-1.271608591079712,0.7513584494590759,1.4242035150527954,0.17038866877555847,-0.31761014461517334,0.2834605872631073,1.2979917526245117,0.7373260855674744,1.5297322273254395,-0.1836087703704834,0.36954155564308167,0.99946743,0.9964212,0.99498534,0.9997427,0.9998274,0.99807525,0.99972826,0.998863,0.99842525,0.9983138,0.99899334,0.99916863,0.99715084,0.99731976,0.99875486,0.9997181,0.9984906,0.9994374,0.9994307,0.99829704,0.99843544,0.99957186,0.99893814,0.998442,0.9997222,0.99832517,0.9986743,0.99945015,0.99861443,0.99947685,0.9997534,0.9986596,0.99844825,0.99674857,0.9981996,0.9991697,0.9975056,0.99761546,0.99937904,0.99966455,0.9994149,0.99944836,0.9995493,0.99969304,0.9992471,0.9992912,0.9973213,0.99869496,0.51684904,0.13999999999999999
3,-0.32183825969696045,-0.04028680920600891,-0.32676759362220764,-0.008421520702540874,0.08546976000070572,-0.2603394389152527,-1.2688212394714355,0.7466651201248169,1.4283506870269775,0.1675621122121811,-0.30868127942085266,0.2645305395126343,1.2801297903060913,0.7316567897796631,1.5294005870819092,-0.17809385061264038,0.34698161482810974,0.9995553,0.9970848,0.9960084,0.99980134,0.9998652,0.9985421,0.9997807,0.9990784,0.9987154,0.99865484,0.9992163,0.9993204,0.9977157,0.9979213,0.99907047,0.99980146,0.99882656,0.9995844,0.9995639,0.9986437,0.99878126,0.99965525,0.99918944,0.99889475,0.9997814,0.9986737,0.9989661,0.9995815,0.9989452,0.9996309,0.99982834,0.9989371,0.9987664,0.99746704,0.9986572,0.99942774,0.99803084,0.9981007,0.9995258,0.99974614,0.9995426,0.9996025,0.99964464,0.9997454,0.9994178,0.99942786,0.997934,0.999057,0.51493865,0.19999999999999998
4,-0.32011479139328003,-0.029338093474507332,-0.32888320088386536,-0.006631260272115469,0.0807495191693306,-0.2505497932434082,-1.2617610692977905,0.7405330538749695,1.4304941892623901,0.16459274291992188,-0.30052459239959717,0.2505413591861725,1.2625563144683838,0.7268813252449036,1.5301833152770996,-0.17363275587558746,0.32581469416618347,0.99963224,0.9976125,0.9967861,0.9998461,0.999897,0.9988896,0.99982387,0.99926823,0.99895775,0.99891007,0.9993919,0.99945074,0.99812764,0.9983693,0.9992974,0.9998567,0.99908733,0.9996952,0.9996667,0.99893636,0.9990565,0.9997218,0.9993861,0.9992034,0.99982953,0.9989581,0.9991928,0.99968016,0.9992034,0.99973935,0.9998771,0.99915993,0.9990237,0.9979673,0.99898607,0.9995977,0.9984036,0.99849105,0.99963796,0.99980825,0.9996468,0.9997123,0.99971896,0.99979323,0.9995484,0.99954283,0.9984139,0.9993105,0.51391554,0.26
5,-0.32407522201538086,-0.022003477439284325,-0.32807865738868713,-0.006094206590205431,0.07761859148740768,-0.24714428186416626,-1.2483251094818115,0.7325519919395447,1.4313571453094482,0.16230174899101257,-0.29537636041641235,0.2439165860414505,1.2444934844970703,0.7218935489654541,1.528107762336731,-0.17117467522621155,0.3156082332134247,0.9996917,0.99801743,0.9973924,0.99988055,0.9999238,0.99916303,0.999859,0.99943775,0.9991702,0.99909604,0.9995246,0.9995598,0.99841535,0.998694,0.99946374,0.9998946,0.9992902,0.9997799,0.9997466,0.9991873,0.99929166,0.99977094,0.99953246,0.99941766,0.9998671,0.99918383,0.99937326,0.9997551,0.99940705,0.99982136,0.99990904,0.99933666,0.99924266,0.9982936,0.99921465,0.9997148,0.9986652,0.9987978,0.99972445,0.9998559,0.9997353,0.9997955,0.9997749,0.9998368,0.9996567,0.99963343,0.9987847,0.9994923,0.51421636,0.32
6,-0.3276483714580536,-0.020883891731500626,-0.3270663321018219,-0.004696455784142017,0.07620598375797272,-0.24401606619358063,-1.2293165922164917,0.7252322435379028,1.4287927150726318,0.1600780338048935,-0.2899923324584961,0.23804594576358795,1.2216591835021973,0.7172850966453552,1.5233656167984009,-0.16937406361103058,0.30184346437454224,0.99973685,0.9983475,0.9978654,0.99990666,0.99994445,0.99936956,0.9998846,0.99956566,0.99932134,0.9992379,0.99962926,0.99964535,0.99863064,0.9989489,0.99958295,0.9999219,0.99945587,0.9998417,0.9998037,0.99936837,0.99945694,0.9998092,0.9996463,0.99957067,0.9998946,0.99936837,0.9995142,0.9998086,0.9995565,0.99987435,0.99993265,0.9994848,0.99941444,0.9985545,0.99938464,0.99979407,0.9988661,0.9990433,0.99979,0.9998894,0.99980086,0.999851,0.99982065,0.9998734,0.9997416,0.99970156,0.9990689,0.9996202,0.51401895,0.38
7,-0.33111220598220825,-0.019746528938412666,-0.3256489932537079,-0.0031678483355790377,0.07506319880485535,-0.24120134115219116,-1.2096086740493774,0.7177346348762512,1.425747275352478,0.15786145627498627,-0.2850340008735657,0.23252640664577484,1.1980743408203125,0.7126280069351196,1.517838954925537,-0.16747288405895233,0.28838807344436646,0.9997745,0.9986203,0.9982474,0.9999269,0.99995947,0.99952424,0.9999051,0.9996636,0.9994429,0.99935526,0.9997105,0.9997136,0.9988128,0.9991518,0.99967504,0.99994195,0.99958223,0.99988604,0.9998474,0.999508,0.99958235,0.9998405,0.9997323,0.99968255,0.9999163,0.99951124,0.9996232,0.99985003,0.9996675,0.9999113,0.99995005,0.9995999,0.9995466,0.9987735,0.9995165,0.99985075,0.9990343,0.9992372,0.99983966,0.99991477,0.9998498,0.99989104,0.99985707,0.99990165,0.9998053,0.99975675,0.9992848,0.9997147,0.5138315,0.44
8,-0.33373016119003296,-0.015195212326943874,-0.3234076201915741,-0.0012146001681685448,0.07425221800804138,-0.23904389142990112,-1.1883436441421509,0.7105970978736877,1.4215341806411743,0.1551574468612671,-0.2802596390247345,0.22790703177452087,1.1733382940292358,0.7079891562461853,1.510019302368164,-0.1650099903345108,0.27317875623703003,0.9998053,0.99884534,0.9985531,0.99994266,0.99997044,0.9996406,0.99992156,0.9997389,0.999539,0.9994523,0.9997739,0.99976784,0.9989706,0.99931216,0.9997459,0.9999566,0.99967813,0.9999174,0.9998807,0.9996153,0.99967563,0.999866,0.9997969,0.99976367,0.9999331,0.99962115,0.9997074,0.9998822,0.9997497,0.9999368,0.9999627,0.99968946,0.9996457,0.99895835,0.9996189,0.9998919,0.9991762,0.99938846,0.9998771,0.99993396,0.9998865,0.9999198,0.9998859,0.99992335,0.99985266,0.99980146,0.9994481,0.9997843,0.5127099,0.5
9,-0.33599239587783813,-0.00960101280361414,-0.32125040888786316,0.0008470100583508611,0.07306142896413803,-0.23745454847812653,-1.1684534549713135,0.7038050889968872,1.4172664880752563,0.15252578258514404,-0.27620646357536316,0.22370271384716034,1.149006724357605,0.703329861164093,1.5020511150360107,-0.1625482141971588,0.2579246163368225,0.99983,0.99903214,0.99880195,0.9999546,0.9999782,0.9997284,0.9999347,0.99979776,0.99961746,0.9995334,0.9998229,0.99981016,0.9991047,0.99944025,0.99980086,0.99996746,0.9997509,0.99993956,0.99990594,0.9996984,0.99974674,0.9998864,0.99984527,0.99982303,0.9999461,0.99970526,0.9997718,0.9999069,0.99981135,0.9999546,0.99997187,0.9997578,0.99972063,0.99911374,0.999699,0.99992144,0.999295,0.99950695,0.9999051,0.9999485,0.9999144,0.999941,0.999908,0.9999399,0.9998883,0.9998363,0.99957436,0.99983656,0.51089215,0.56
